objectid,wuname,wuc,hucarea,huc,swma,area_sqmi,st_areashape,st_perimetershape
77,Paauilo,8069,4017353.81069,8069,0,1.551,4017280.05525992,15722.7624178947
70,Alilipali,8064,4094601.60977,8064,0,1.58099997,4094523.65666342,11927.4514726835
71,Kaumoali,8065,24084471.5194,8065,0,9.29899979,24084169.6303996,44172.0536097958
74,Lamimaumau,8160,9948003.2533,8160,0,3.84100008,9948017.33636478,14928.2476458214
72,Pohakuhaku,8066,6270558.95073,8066,0,2.421,6270439.52020775,18060.1164528513
73,Waipunahina,8067,40666113.5097,8067,0,1.57000005,40665585.8890792,47101.0843533741
76,Haloa,8159,2749729.30826,8159,0,1.06200004,2749726.49132954,8942.04616944111
75,Waipunalau,8068,9851088.93493,8068,0,3.8039999,9850944.06568405,27670.0844162956
78,Aamanu,8070,1652083.2652,8070,0,0.63800001,1652052.24491075,12006.5079817049
79,Koholalele,8071,36919140.2818,8071,0,1.42499995,36918688.6626522,52434.0090058165
80,Kalapahapuu,8072,16496737.3766,8072,0,6.36899996,16496500.847173,33065.6980067537
81,Kukaiau,8073,6158851.50857,8073,0,2.37800002,6158760.59839912,21363.6934557917
82,Puumaile,8074,23397878.0122,8074,0,9.0340004,23397592.689217,45476.6644088439
83,Kekualele,8075,5597837.04555,8075,0,2.16100001,5597747.70890492,20466.3728437947
86,Keehia,8078,4419607.52244,8078,0,1.70599997,4419534.53167403,16249.4231822426
