objectid,hawaiistgrdsownerlulcarea,perimeter,landcover,featureuid,createdate,createdby,modifieddate,modifiedby,agency,deliverydate,sourceid,severity,publishdate,comments,st_areashape,st_perimetershape
26,1244180.453,4374.902,Evergreen Forest Land,{4C7E88D8-1291-461C-B03C-D841617FDF51},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1244223.41920206,4374.97263173111
27,216699.285,2119.162,Cropland and Pasture,{902CA193-7F0F-4A3C-8621-8F897CEDFB06},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,216706.663097045,2119.19483196764
28,3072963.483,9841.855,Shrub and Brush Rangeland,{EF4DB50B-DF9A-405A-87BD-E8139FAFE0BD},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,3073066.50653237,9842.01441915687
29,985523.616,4051.973,Shrub and Brush Rangeland,{7299C337-8446-4F9C-8357-4328741D4CB9},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,985562.045966443,4052.05915261443
30,284766.289,2302.779,Cropland and Pasture,{E1A7DFA6-3772-4AF5-A763-4209C270C7C7},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,284776.492012644,2302.8218664067
31,26304377.703,56552.491,Cropland and Pasture,{181434D3-47F1-4A00-8EFF-B3CFC7B7F3D0},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,26305392.5170967,56553.5583474914
46,92029047.276,111022.123,Evergreen Forest Land,{9D10808D-A4B4-4689-AB45-42E32D90FCFB},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,92031214.7188093,111023.42251256
47,172890.594,1669.764,Residential,{08B67A61-0BAE-4992-B090-E71D447271AD},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,172897.252986877,1669.79539320625
1586,145978819.499,161319.514,Shrub and Brush Rangeland,{EB099E13-9512-4848-96E7-C48812948EFD},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,145982740.978492,161321.819693554
32,1609818.039,5568.701,Forested Wetland,{7F147844-12AB-41EB-B6FE-DD1756B640E7},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1609874.9578643,5568.80511140831
33,82898.328,1171.19,Reservoirs,{2D43B923-13EA-43DB-95EA-7AF8EF732B2C},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,82901.2215110915,1171.21199286561
34,125040.411,1762.398,Reservoirs,{D8DA8177-5E96-4AC3-B5C9-B579C7E9A8E2},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,125044.833415002,1762.43028779783
35,333070.728,2376.466,Cropland and Pasture,{2386D318-8E01-499D-9272-5B7363041104},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,333082.71449171,2376.50989411553
36,1988318.164,7416.996,Nonforested Wetland,{2F67F996-1AF5-40F6-8417-0A78AB2202AB},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1988382.99451427,7417.106429118
37,961566.668,4205.638,Mixed Rangeland,{6D44F598-8577-4523-A245-8614AB4D5A62},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,961602.00358409,4205.72024960308
38,147307.154,1441.941,Reservoirs,{F8E3679A-D905-43D7-A4FE-7CBC146AC9BC},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,147312.436906693,1441.96613483459
48,909987.881,5186.987,Shrub and Brush Rangeland,{BC6528A4-7724-49B8-8A45-41F9800ED30A},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,910012.363013388,5187.06227255251
39,4350482.397,8735.747,Mixed Rangeland,{EE25B7AB-5A8E-4FC9-966D-67414137C664},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,4350620.90633339,8735.88326606295
40,6985015.788,13678.483,Mixed Rangeland,{E6F495D7-35A6-4389-8C66-A474C45C8150},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,6985278.60998868,13678.7315068572
41,333623.038,2667.383,Mixed Rangeland,{12E2D692-819A-4156-9B6E-EE1D25AC44B6},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,333633.481299505,2667.42068380985
42,4646546.373,11628.671,Shrub and Brush Rangeland,{E8DA26BD-5449-4032-A129-11DE17A1B9B9},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,4646686.30309286,11628.8625588311
43,330556.944,2672.433,Evergreen Forest Land,{C2DFB895-1388-4AE2-B69A-8EFC8D3AA5D2},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,330569.339775,2672.48146154677
49,560998.891,3554.904,Residential,{6C4199C5-0178-401F-BB67-8D9C2BAA48F2},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,561020.633388261,3554.97399109597
50,940010.441,4617.504,Forested Wetland,{B6F0BA96-C4B0-4B6F-B0A4-8D4301EF1085},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,940035.11433054,4617.57152937421
51,43780034.333,95897.838,Shrub and Brush Rangeland,{3FE74758-667E-46D2-B695-C8C24A63FB69},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,43781019.5525846,95898.9731846725
52,927102.278,5640.404,Shrub and Brush Rangeland,{76508549-95B1-41B5-9000-91B18CB08C7A},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,927126.422702357,5640.48796935964
53,951175.176,4514.123,Bare Exposed Rock,{302C938C-1AD1-4ECE-BCBD-ADEC449BF8F2},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,951202.712446101,4514.18844795522
54,1615771.797,7159.899,Cropland and Pasture,{3E78982E-D2E9-4D72-B9B9-DAAB5DF6E927},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1615835.9080811,7160.0408360888
55,692680.835,3771.92,Forested Wetland,{22D66A49-A1AD-4D42-9442-95BD7B3BED5D},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,692697.932392996,3771.9738887467
56,3057339.176,8936.667,Shrub and Brush Rangeland,{20969B12-32D7-4BBF-9EC4-52BB929211FD},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,3057417.54380072,8936.77820495316
57,19595493.547,52191.123,Cropland and Pasture,{3119A358-6F6F-4632-98A4-50684E266F92},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,19596303.9992105,52192.2010225619
58,832299.055,5131.043,Shrub and Brush Rangeland,{DE74CCD9-D2EA-4382-AC19-D21E1957F13A},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,832318.925911645,5131.11388821943
59,353375.468,2460.043,Bare Exposed Rock,{C1FF789E-AECE-4836-90E0-1D0E64C9042D},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,353385.175951944,2460.07873395806
60,232532.98,2273.274,Cropland and Pasture,{A41399A5-0AB5-4CAA-A7A1-D80F38BA2121},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,232542.388487888,2273.31798894833
61,267819.412,2252.095,Residential,{EA0935A5-AB44-4DDD-9EA2-554D16CB527B},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,267830.264156339,2252.13957724019
62,763558.889,4068.393,Forested Wetland,{24DD6B83-FD5F-4903-8EB3-24266DFB1A60},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,763578.049912573,4068.44784822228
63,203579.835,2656.81,Residential,{728274B5-C6A8-46C8-9885-2C0024388327},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,203588.112678465,2656.86230975643
64,1540790.621,5814.9,Cropland and Pasture,{4E743316-6F00-4FF8-AEEA-AC1E5954C184},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1540853.45373529,5815.01857962489
65,499235.24,4230.913,Residential,{1AFBC182-D550-4C0F-8C37-63609C80F69D},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,499255.339299911,4230.99904814901
66,805698.374,6668.666,Residential,{EE7ABE34-518A-4722-A1F4-16BDEE1FC514},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,805731.143055732,6668.79603763502
67,176853.227,1617.897,Commercial and Services,{84CAFB58-A1B5-4420-A065-8A7F04304D87},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,176860.470334101,1617.92986437353
68,1270496.201,7328.981,Shrub and Brush Rangeland,{DE3921DD-82C4-4CFC-8816-6BCE997D193C},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1270525.71128955,7329.07917178425
69,1721397.463,6650.411,Cropland and Pasture,{F8561FCF-B73A-4236-A16D-D57876803C42},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1721467.88753028,6650.53923765918
