"","year","crop","ppa","yield","fertilizer"
"134",2008,"Corn",NA,153.3,"phosphate"
"135",2008,"Corn",NA,153.3,"potassium"
"136",2009,"Corn",NA,164.4,"nitrogen"
"137",2009,"Corn",NA,164.4,"phosphate"
"138",2009,"Corn",NA,164.4,"potassium"
"139",2010,"Corn",140,152.6,"nitrogen"
"140",2010,"Corn",60,152.6,"phosphate"
"141",2010,"Corn",79,152.6,"potassium"
"142",2011,"Corn",NA,146.8,"nitrogen"
"143",2011,"Corn",NA,146.8,"phosphate"
"144",2011,"Corn",NA,146.8,"potassium"
"145",2012,"Corn",NA,123.1,"nitrogen"
"146",2012,"Corn",NA,123.1,"phosphate"
"147",2012,"Corn",NA,123.1,"potassium"
"148",2013,"Corn",NA,158.1,"nitrogen"
"149",2013,"Corn",NA,158.1,"phosphate"
"150",2013,"Corn",NA,158.1,"potassium"
"151",2014,"Corn",144,171,"nitrogen"
"152",2014,"Corn",64,171,"phosphate"
"153",2014,"Corn",82,171,"potassium"
"154",2015,"Corn",NA,168.4,"nitrogen"
"155",2015,"Corn",NA,168.4,"phosphate"
"156",2015,"Corn",NA,168.4,"potassium"
"157",2016,"Corn",145,174.6,"nitrogen"
"158",2016,"Corn",61,174.6,"phosphate"
"159",2016,"Corn",80,174.6,"potassium"
